condition,block,rt
2,1,721
2,1,591
2,1,538
2,1,623
2,1,512
2,1,543
2,1,524
2,1,530
2,1,432
2,1,538
2,1,654
2,1,646
2,1,560
2,1,556
2,1,624
2,1,858
2,1,674
2,1,778
2,1,653
2,1,758
2,1,562
2,1,599
2,1,697
2,1,712
2,1,622
2,1,721
2,1,686
2,1,645
2,1,598
2,1,721
2,1,1254
2,1,869
2,1,773
2,1,1560
2,1,660
2,1,508
2,1,731
2,1,624
2,1,746
2,1,879
2,2,861
2,2,821
2,2,655
2,2,663
2,2,856
2,2,712
2,2,391
2,2,609
2,2,588
2,2,1167
2,2,570
2,2,518
2,2,619
2,2,637
2,2,598
2,2,705
2,2,599
2,2,706
2,2,664
2,2,777
2,2,980
2,2,863
2,2,944
2,2,692
2,2,907
2,2,753
2,2,797
2,2,656
2,2,721
2,2,758
2,2,730
2,2,728
2,2,1022
2,2,982
2,2,618
2,2,859
2,2,755
2,2,944
2,2,772
2,2,800
1,1,928
1,1,732
1,1,667
1,1,543
1,1,549
1,1,401
1,1,444
1,1,544
1,1,476
1,1,385
1,1,401
1,1,421
1,1,403
1,1,463
1,1,480
1,1,436
1,1,355
1,1,473
1,1,784
1,1,410
1,1,568
1,1,499
1,1,797
1,1,690
1,1,386
1,1,358
1,1,492
1,1,760
1,1,715
1,1,516
1,1,420
1,1,472
1,1,393
1,1,395
1,1,583
1,1,523
1,1,467
1,1,476
1,1,495
1,1,824
1,2,1075
1,2,728
1,2,811
1,2,912
1,2,1448
1,2,767
1,2,1014
1,2,1479
1,2,938
1,2,1172
1,2,1255
1,2,761
1,2,810
1,2,798
1,2,871
1,2,771
1,2,1445
1,2,967
1,2,604
1,2,914
1,2,675
1,2,832
1,2,610
1,2,1101
1,2,573
1,2,1135
1,2,638
1,2,584
1,2,518
1,2,919
1,2,1181
1,2,1107
1,2,1302
1,2,1339
1,2,561
1,2,1043
1,2,1466
1,2,1027
1,2,623
1,2,711
1,1,709
1,1,844
1,1,766
1,1,620
1,1,486
1,1,742
1,1,692
1,1,628
1,1,607
1,1,674
1,1,675
1,1,628
1,1,1142
1,1,516
1,1,635
1,1,476
1,1,437
1,1,511
1,1,398
1,1,483
1,1,467
1,1,563
1,1,536
1,1,390
1,1,491
1,1,515
1,1,554
1,1,455
1,1,704
1,1,528
1,1,495
1,1,423
1,1,450
1,1,483
1,1,451
1,1,500
1,1,1099
1,1,658
1,1,508
1,1,603
1,2,742
1,2,780
1,2,640
1,2,667
1,2,787
1,2,679
1,2,616
1,2,563
1,2,560
1,2,694
1,2,558
1,2,587
1,2,535
1,2,461
1,2,438
1,2,384
1,2,476
1,2,477
1,2,518
1,2,580
1,2,617
1,2,636
1,2,542
1,2,628
1,2,655
1,2,616
1,2,610
1,2,549
1,2,651
1,2,564
1,2,402
1,2,437
1,2,383
1,2,571
1,2,664
1,2,657
1,2,562
1,2,591
1,2,499
1,2,827
1,1,531
1,1,433
1,1,359
1,1,415
1,1,435
1,1,334
1,1,355
1,1,404
1,1,423
1,1,503
1,1,390
1,1,430
1,1,411
1,1,478
1,1,358
1,1,420
1,1,507
1,1,330
1,1,490
1,1,393
1,1,376
1,1,407
1,1,379
1,1,389
1,1,437
1,1,464
1,1,284
1,1,1278
1,1,570
1,1,499
1,1,491
1,1,477
1,1,382
1,1,539
1,1,501
1,1,396
1,1,407
1,1,391
1,1,352
1,1,417
1,2,1095
1,2,524
1,2,579
1,2,1157
1,2,664
1,2,591
1,2,534
1,2,559
1,2,492
1,2,842
1,2,511
1,2,729
1,2,537
1,2,730
1,2,1011
1,2,895
1,2,579
1,2,505
1,2,852
1,2,658
1,2,535
1,2,577
1,2,564
1,2,564
1,2,559
1,2,552
1,2,535
1,2,580
1,2,524
1,2,558
1,2,531
1,2,489
1,2,405
1,2,559
1,2,618
1,2,688
1,2,678
1,2,539
1,2,552
1,2,640
2,1,734
2,1,729
2,1,753
2,1,471
2,1,419
2,1,517
2,1,639
2,1,577
2,1,424
2,1,488
2,1,475
2,1,557
2,1,488
2,1,486
2,1,506
2,1,398
2,1,507
2,1,961
2,1,503
2,1,518
2,1,403
2,1,395
2,1,640
2,1,475
2,1,468
2,1,505
2,1,745
2,1,470
2,1,496
2,1,482
2,1,621
2,1,519
2,1,956
2,1,487
2,1,518
2,1,562
2,1,504
2,1,969
2,1,483
2,1,605
2,2,647
2,2,439
2,2,408
2,2,636
2,2,1046
2,2,909
2,2,603
2,2,596
2,2,404
2,2,530
2,2,574
2,2,826
2,2,647
2,2,551
2,2,528
2,2,818
2,2,505
2,2,565
2,2,553
2,2,641
2,2,500
2,2,1550
2,2,677
2,2,559
2,2,659
2,2,569
2,2,528
2,2,595
2,2,548
2,2,935
2,2,623
2,2,780
2,2,539
2,2,791
2,2,500
2,2,537
2,2,777
2,2,807
2,2,634
2,2,954
1,1,668
1,1,641
1,1,458
1,1,554
1,1,437
1,1,389
1,1,439
1,1,471
1,1,559
1,1,571
1,1,478
1,1,484
1,1,402
1,1,453
1,1,467
1,1,427
1,1,437
1,1,540
1,1,416
1,1,465
1,1,473
1,1,441
1,1,441
1,1,450
1,1,457
1,1,481
1,1,496
1,1,646
1,1,455
1,1,478
1,1,405
1,1,654
1,1,565
1,1,1056
1,1,583
1,1,641
1,1,633
1,1,529
1,1,494
1,1,604
1,2,784
1,2,730
1,2,582
1,2,552
1,2,524
1,2,585
1,2,538
1,2,654
1,2,534
1,2,451
1,2,890
1,2,622
1,2,887
1,2,788
1,2,614
1,2,623
1,2,560
1,2,827
1,2,555
1,2,456
1,2,464
1,2,408
1,2,584
1,2,570
1,2,374
1,2,505
1,2,366
1,2,489
1,2,407
1,2,434
1,2,385
1,2,580
1,2,1022
1,2,766
1,2,585
1,2,835
1,2,546
1,2,559
1,2,1201
1,2,929
2,1,910
2,1,984
2,1,579
2,1,816
2,1,660
2,1,788
2,1,696
2,1,531
2,1,495
2,1,533
2,1,610
2,1,854
2,1,596
2,1,623
2,1,492
2,1,758
2,1,739
2,1,680
2,1,608
2,1,619
2,1,590
2,1,526
2,1,619
2,1,672
2,1,602
2,1,481
2,1,587
2,1,537
2,1,570
2,1,508
2,1,572
2,1,574
2,1,518
2,1,570
2,1,658
2,1,516
2,1,516
2,1,1287
2,1,538
2,1,518
2,2,851
2,2,713
2,2,797
2,2,733
2,2,735
2,2,608
2,2,633
2,2,831
2,2,650
2,2,653
2,2,550
2,2,827
2,2,859
2,2,696
2,2,633
2,2,738
2,2,817
2,2,654
2,2,531
2,2,713
2,2,661
2,2,702
2,2,660
2,2,671
2,2,629
2,2,557
2,2,684
2,2,1368
2,2,673
2,2,674
2,2,613
2,2,839
2,2,634
2,2,790
2,2,753
2,2,563
2,2,755
2,2,758
2,2,764
2,2,772
2,1,441
2,1,411
2,1,516
2,1,610
2,1,467
2,1,404
2,1,349
2,1,385
2,1,556
2,1,472
2,1,407
2,1,458
2,1,393
2,1,485
2,1,451
2,1,403
2,1,397
2,1,495
2,1,518
2,1,539
2,1,352
2,1,380
2,1,399
2,1,361
2,1,406
2,1,360
2,1,404
2,1,511
2,1,348
2,1,344
2,1,389
2,1,432
2,1,401
2,1,443
2,1,748
2,1,503
2,1,421
2,1,511
2,1,405
2,1,415
2,2,805
2,2,846
2,2,405
2,2,391
2,2,882
2,2,632
2,2,433
2,2,714
2,2,598
2,2,528
2,2,637
2,2,582
2,2,529
2,2,390
2,2,353
2,2,397
2,2,416
2,2,673
2,2,503
2,2,645
2,2,509
2,2,451
2,2,891
2,2,464
2,2,487
2,2,486
2,2,405
2,2,311
2,2,438
2,2,566
2,2,362
2,2,438
2,2,590
2,2,457
2,2,489
2,2,672
2,2,502
2,2,516
2,2,529
2,2,670
2,1,592
2,1,450
2,1,530
2,1,943
2,1,562
2,1,558
2,1,561
2,1,549
2,1,561
2,1,525
2,1,578
2,1,501
2,1,411
2,1,573
2,1,352
2,1,372
2,1,431
2,1,624
2,1,504
2,1,814
2,1,446
2,1,663
2,1,542
2,1,586
2,1,548
2,1,529
2,1,502
2,1,531
2,1,640
2,1,385
2,1,691
2,1,481
2,1,544
2,1,548
2,1,464
2,1,368
2,1,547
2,1,664
2,1,495
2,1,646
2,2,764
2,2,511
2,2,524
2,2,713
2,2,735
2,2,539
2,2,527
2,2,748
2,2,496
2,2,462
2,2,870
2,2,772
2,2,486
2,2,877
2,2,507
2,2,712
2,2,526
2,2,675
2,2,649
2,2,882
2,2,639
2,2,1151
2,2,505
2,2,1055
2,2,485
2,2,611
2,2,605
2,2,662
2,2,574
2,2,729
2,2,565
2,2,697
2,2,535
2,2,1107
2,2,527
2,2,780
2,2,527
2,2,956
2,2,566
2,2,682
1,1,499
1,1,699
1,1,411
1,1,528
1,1,392
1,1,437
1,1,388
1,1,412
1,1,907
1,1,360
1,1,576
1,1,395
1,1,514
1,1,409
1,1,395
1,1,424
1,1,498
1,1,475
1,1,473
1,1,440
1,1,488
1,1,491
1,1,467
1,1,417
1,1,971
1,1,851
1,1,572
1,1,454
1,1,448
1,1,543
1,1,481
1,1,532
1,1,469
1,1,494
1,1,471
1,1,437
1,1,569
1,1,410
1,1,591
1,1,468
1,2,1488
1,2,927
1,2,922
1,2,726
1,2,453
1,2,665
1,2,543
1,2,523
1,2,954
1,2,480
1,2,808
1,2,638
1,2,496
1,2,494
1,2,943
1,2,805
1,2,544
1,2,811
1,2,395
1,2,626
1,2,592
1,2,1260
1,2,374
1,2,452
1,2,977
1,2,506
1,2,631
1,2,602
1,2,1285
1,2,632
1,2,692
1,2,804
1,2,1436
1,2,792
1,2,708
1,2,681
1,2,904
1,2,528
1,2,551
1,2,567
1,1,862
1,1,511
1,1,494
1,1,718
1,1,532
1,1,706
1,1,585
1,1,709
1,1,572
1,1,456
1,1,473
1,1,602
1,1,501
1,1,532
1,1,482
1,1,466
1,1,914
1,1,530
1,1,480
1,1,448
1,1,1058
1,1,619
1,1,693
1,1,701
1,1,596
1,1,672
1,1,584
1,1,772
1,1,552
1,1,469
1,1,566
1,1,530
1,1,592
1,1,492
1,1,556
1,1,633
1,1,531
1,1,593
1,1,461
1,1,606
1,2,678
1,2,862
1,2,1023
1,2,1385
1,2,485
1,2,725
1,2,667
1,2,931
1,2,850
1,2,627
1,2,877
1,2,781
1,2,610
1,2,813
1,2,544
1,2,541
1,2,603
1,2,518
1,2,613
1,2,464
1,2,465
1,2,546
1,2,480
1,2,463
1,2,528
1,2,479
1,2,575
1,2,668
1,2,628
1,2,558
1,2,748
1,2,497
1,2,529
1,2,1519
1,2,980
1,2,512
1,2,495
1,2,895
1,2,511
1,2,446
2,1,547
2,1,459
2,1,457
2,1,403
2,1,412
2,1,378
2,1,424
2,1,433
2,1,520
2,1,404
2,1,381
2,1,474
2,1,751
2,1,540
2,1,765
2,1,498
2,1,370
2,1,446
2,1,403
2,1,410
2,1,486
2,1,429
2,1,370
2,1,515
2,1,731
2,1,638
2,1,831
2,1,1230
2,1,592
2,1,468
2,1,394
2,1,374
2,1,546
2,1,482
2,1,661
2,1,487
2,1,509
2,1,422
2,1,479
2,1,443
2,2,459
2,2,460
2,2,722
2,2,816
2,2,573
2,2,501
2,2,458
2,2,708
2,2,609
2,2,479
2,2,510
2,2,562
2,2,573
2,2,586
2,2,440
2,2,455
2,2,444
2,2,492
2,2,585
2,2,648
2,2,481
2,2,452
2,2,694
2,2,527
2,2,752
2,2,741
2,2,636
2,2,569
2,2,604
2,2,499
2,2,447
2,2,545
2,2,520
2,2,495
2,2,537
2,2,479
2,2,590
2,2,663
2,2,552
2,2,697
1,1,563
1,1,797
1,1,496
1,1,425
1,1,473
1,1,485
1,1,426
1,1,410
1,1,416
1,1,512
1,1,352
1,1,816
1,1,478
1,1,527
1,1,554
1,1,511
1,1,454
1,1,492
1,1,455
1,1,399
1,1,494
1,1,405
1,1,494
1,1,692
1,1,484
1,1,511
1,1,617
1,1,668
1,1,502
1,1,745
1,1,552
1,1,815
1,1,478
1,1,678
1,1,530
1,1,807
1,1,516
1,1,499
1,1,535
1,1,533
1,2,930
1,2,513
1,2,411
1,2,546
1,2,421
1,2,369
1,2,755
1,2,605
1,2,567
1,2,530
1,2,588
1,2,597
1,2,880
1,2,1023
1,2,1542
1,2,794
1,2,532
1,2,446
1,2,759
1,2,496
1,2,481
1,2,997
1,2,736
1,2,523
1,2,711
1,2,683
1,2,599
1,2,517
1,2,507
1,2,573
1,2,635
1,2,423
1,2,545
1,2,586
1,2,528
1,2,525
1,2,458
1,2,690
1,2,513
1,2,539
2,1,503
2,1,437
2,1,402
2,1,444
2,1,389
2,1,497
2,1,529
2,1,528
2,1,492
2,1,485
2,1,540
2,1,425
2,1,477
2,1,329
2,1,372
2,1,419
2,1,499
2,1,478
2,1,430
2,1,482
2,1,391
2,1,906
2,1,545
2,1,413
2,1,393
2,1,582
2,1,445
2,1,569
2,1,500
2,1,489
2,1,1035
2,1,586
2,1,947
2,1,974
2,1,581
2,1,490
2,1,533
2,1,498
2,1,538
2,1,599
2,2,674
2,2,641
2,2,607
2,2,996
2,2,557
2,2,531
2,2,462
2,2,551
2,2,503
2,2,905
2,2,530
2,2,459
2,2,616
2,2,869
2,2,496
2,2,580
2,2,561
2,2,1159
2,2,478
2,2,607
2,2,666
2,2,857
2,2,664
2,2,576
2,2,606
2,2,1008
2,2,526
2,2,686
2,2,588
2,2,885
2,2,529
2,2,766
2,2,512
2,2,440
2,2,498
2,2,681
2,2,494
2,2,570
2,2,524
2,2,543
